Mvir,Rvir,Xc,Yc,Zc,Menv
983747058823.5293,216.04,4.03796536,27114.55439458,52140.69777385,47185626308461.1
983158823529.4117,216.0,3454.09178311,14966.70941759,18607.26982846,57830089441185.875
982074999999.9999,215.91,31060.74401801,7608.57451819,55224.88981351,47191211231723.98
981226470588.2352,215.85,882.81837614,31800.9849,57864.30574894,35622360821224.4
978704411764.7058,215.66,55311.94459542,38705.28010809,6614.87790459,60246499572921.99
978657352941.1764,215.66,233.25389598,20374.78072691,21329.82398818,49324486962601.82
976795588235.2941,215.52,54251.96604072,1535.77589178,21109.04204877,60067664203124.78
976042647058.8235,215.47,19036.92837351,2032.94365283,54512.92301257,26289977614041.95
975688235294.1176,215.44,22872.09967608,33171.79616085,23543.16404603,42669544245732.7
974439705882.3529,215.36,32989.52657723,22624.49560044,3425.08617065,67940120191300.164
971752941176.4705,215.15,12407.64382645,55460.38139149,56797.50115227,64642305482343.73
